[08:40:10,563] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[11:08:32,607] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[11:09:25,179] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[11:09:28,633] INFO >> 连接   (Class: FormMain, Method: ShowMessage)
[11:11:25,248] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[11:13:00,811] INFO >> 连接   (Class: FormMain, Method: ShowMessage)
[11:14:25,314] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[11:15:38,269] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[11:15:44,265] INFO >> 连接   (Class: FormMain, Method: ShowMessage)
[11:25:56,546] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[11:26:06,073] INFO >> 连接   (Class: FormMain, Method: ShowMessage)
[11:26:54,669] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[11:26:58,351] INFO >> 连接   (Class: FormMain, Method: ShowMessage)
[11:28:06,155] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[11:29:47,392] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[11:29:53,078] INFO >> 连接   (Class: FormMain, Method: ShowMessage)
[11:31:25,365] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[11:31:28,960] INFO >> 连接   (Class: FormMain, Method: ShowMessage)
[11:32:48,707] INFO >> 服务启动成功！   (Class: FormMain, Method: ShowMessage)
[11:32:53,315] INFO >> 连接   (Class: FormMain, Method: ShowMessage)
[11:33:00,978] INFO >> 点击确认按钮，锁定工单，并询问设备是否具备开工条件.   (Class: FormMain, Method: ShowMessage)
[11:33:48,185] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[11:33:51,661] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[11:33:53,559] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[11:33:55,352] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[11:33:57,809] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[11:47:46,750] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[11:54:51,411] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[11:55:22,423] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[11:56:04,495] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[12:43:27,081] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[12:49:20,474] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[12:49:30,033] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[12:49:59,910] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[12:50:27,437] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[12:55:49,872] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[12:55:54,895] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[12:56:18,676] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[12:56:19,642] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[12:56:46,029] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[12:56:52,320] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[12:56:53,732] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[12:56:54,157] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[12:57:19,009] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[12:57:30,331] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[12:57:45,749] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[12:57:57,156] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[12:58:33,542] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:04:08,134] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:04:10,536] INFO >> 点击确认按钮，锁定工单，并询问设备是否具备开工条件.   (Class: FormMain, Method: ShowMessage)
[13:04:17,632] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:04:20,075] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[13:04:20,482] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:04:21,270] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[13:04:21,724] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:04:23,188] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[13:04:34,420] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:07:02,182] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:07:24,385] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:07:47,885] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:07:54,074] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:11:00,118] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:11:04,281] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:11:24,874] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:11:28,350] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:11:32,625] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[13:11:33,187] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:11:47,617] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:11:53,596] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:12:11,970] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:12:33,323] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:12:45,745] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:13:02,853] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:13:08,700] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:13:54,975] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:14:00,814] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:14:25,115] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:15:33,009] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:15:40,198] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:19:52,658] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:20:30,771] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:21:21,636] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:21:27,804] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:29:33,838] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:30:07,147] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:30:29,059] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:30:48,050] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:30:55,614] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:32:55,879] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:33:08,345] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:33:11,403] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[13:33:12,931] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:33:14,992] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[13:33:15,886] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:33:17,360] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[13:33:18,589] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:33:20,541] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[13:33:21,297] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:37:01,075] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:37:33,250] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:40:06,051] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:41:09,411] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:41:24,381] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:43:30,698] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:44:23,009] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:45:02,231] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:45:28,131] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[13:45:43,788] INFO >> 点击确认按钮，锁定工单，并询问设备是否具备开工条件.   (Class: FormMain, Method: ShowMessage)
[13:52:03,121] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:54:49,768] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[13:56:23,348] INFO >> 服务启动失败！   (Class: FormMain, Method: ShowMessage)
[13:58:58,827] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[14:00:38,979] INFO >> 服务启动成功，请选择开工设备 =>   (Class: FormMain, Method: ShowMessage)
[14:01:27,754] INFO >> 服务启动成功，等待设备连接 =>   (Class: FormMain, Method: ShowMessage)
[14:01:47,885] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:01:47,914] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:02:05,655] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:02:05,658] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:02:24,737] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[14:02:24,738] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[14:03:31,869] INFO >> 服务启动成功，等待设备连接 =>   (Class: FormMain, Method: ShowMessage)
[14:04:10,189] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:04:10,211] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:04:17,646] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:04:17,648] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:04:21,844] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:04:21,847] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:04:29,223] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:04:29,228] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:04:45,267] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:04:45,275] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:05:32,731] INFO >> 服务启动成功，等待设备连接 =>   (Class: FormMain, Method: ShowMessage)
[14:05:39,441] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:05:39,449] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:05:43,409] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:05:43,412] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:06:06,830] INFO >> 服务启动成功，等待设备连接 =>   (Class: FormMain, Method: ShowMessage)
[14:06:11,518] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:06:11,527] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:06:14,018] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:06:14,025] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:06:16,692] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:06:16,696] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:06:19,893] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:06:19,897] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:06:22,028] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:06:22,032] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:06:25,745] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:06:29,197] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:07:05,370] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:07:21,208] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:10:56,054] INFO >> 服务启动成功，等待设备连接 =>   (Class: FormMain, Method: ShowMessage)
[14:11:06,725] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:11:06,734] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:11:07,811] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[14:11:08,703] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:11:08,709] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:11:09,930] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[14:13:40,653] INFO >> 服务启动成功，等待设备连接 =>   (Class: FormMain, Method: ShowMessage)
[14:16:46,735] INFO >> 服务启动成功，等待设备连接 =>   (Class: FormMain, Method: ShowMessage)
[14:18:25,945] INFO >> 服务启动成功，等待设备连接 =>   (Class: FormMain, Method: ShowMessage)
[14:18:57,562] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[14:18:57,773] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[14:18:58,357] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[14:18:59,387] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[14:19:00,574] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[14:19:07,107] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:19:07,135] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:19:11,814] DEBUG >> 测试启动   (Class: FormMain, Method: staStripTest2_Click)
[14:19:25,027] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:19:25,031] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:19:28,207] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:19:28,235] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:19:30,483] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:19:30,487] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:19:33,420] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:19:33,425] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:19:37,746] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:19:40,544] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:19:44,646] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:19:45,842] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:20:19,954] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:20:53,410] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:20:56,787] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:21:10,783] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:21:13,332] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:21:21,037] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:21:49,219] INFO >> 服务启动成功，等待设备连接 =>   (Class: FormMain, Method: ShowMessage)
[14:21:54,993] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:21:54,999] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:21:57,578] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:21:57,583] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:22:04,139] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:22:09,191] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:22:39,004] INFO >> 服务启动成功，等待设备连接 =>   (Class: FormMain, Method: ShowMessage)
[14:22:48,555] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:22:48,560] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:22:50,365] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:22:50,372] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:22:52,454] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:22:52,460] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:02,358] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:06,599] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:07,592] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:09,362] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:10,437] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:23,405] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:23:23,410] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:25,782] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:23:25,791] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:29,286] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[14:23:29,292] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:29,881] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:23:29,905] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:31,962] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:33,245] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:38,359] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[14:23:38,363] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:41,400] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:55,633] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[14:23:55,646] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:23:57,891] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[14:23:57,899] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:24:00,059] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[14:24:00,066] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:24:04,556] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:24:13,106] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[14:25:03,196] INFO >> 点击确认按钮，锁定工单，并询问设备是否具备开工条件.   (Class: FormMain, Method: ShowMessage)
[14:25:11,140] INFO >> 点击确认按钮，锁定工单，并询问设备是否具备开工条件.   (Class: FormMain, Method: ShowMessage)
[14:28:31,224] INFO >> 服务启动成功，等待设备连接 =>   (Class: FormMain, Method: ShowMessage)
[14:29:38,749] INFO >> 服务启动成功，等待设备连接 =>   (Class: FormMain, Method: ShowMessage)
[14:29:45,177] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:29:45,186] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:29:45,571] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[14:29:47,008] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:29:47,010] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:29:56,828] INFO >> 点击确认按钮，锁定工单，并询问设备是否具备开工条件.   (Class: FormMain, Method: ShowMessage)
[14:30:04,495] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[14:31:00,569] INFO >> 服务启动成功，等待设备连接 =>   (Class: FormMain, Method: ShowMessage)
[14:31:03,914] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:31:03,920] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:31:06,250] INFO >> 点击确认按钮，锁定工单，并询问设备是否具备开工条件.   (Class: FormMain, Method: ShowMessage)
[14:31:11,878] INFO >> 断开连接   (Class: FormMain, Method: ShowMessage)
[14:31:44,158] INFO >> 连接成功！   (Class: FormMain, Method: ShowMessage)
[14:31:44,160] INFO >> 请选择制令单.   (Class: FormMain, Method: ShowMessage)
[14:31:50,604] INFO >> 点击确认按钮，锁定工单，并询问设备是否具备开工条件.   (Class: FormMain, Method: ShowMessage)
